instrument,variable,n,mean,std,min,median,max
GPRO,price_impact_5s,51,0.0013251951199802301,0.0010397735229855391,-0.00015548875298019782,0.0011560693641618248,0.004229777233985911
EURUSD,dollar_vol,390,105612520.87179486,144871107.96377847,0.0,64850555.0,1818582550.0
EURUSD,n_trades,390,37.26923076923077,36.63643131725349,0.0,27.0,340.0
EURUSD,n_orders,0,,,,,
EURUSD,open,389,1.3027061953727506,0.005591996528810252,1.29488,1.30329,1.31209
EURUSD,close,389,1.3027351156812337,0.005603638986977759,1.2949,1.3034,1.31209
EURUSD,high,389,1.3029421850899743,0.005630124479651855,1.29529,1.30366,1.31209
EURUSD,low,389,1.302529588688946,0.005571028411554355,1.2947,1.30292,1.3118
EURUSD,vwap,389,1.3027389383446477,0.005601981298963035,1.294930705882353,1.3032683216783216,1.3119559154929576
EURUSD,spread,390,0.0001133449229077925,1.673666924430025e-05,6.705685618729297e-05,0.00011235000000001639,0.00016425000000002383
EURUSD,bid_depth,390,2030379.171539349,1013649.3348666059,1006666.6666666666,1787145.242070117,10538461.538461538
EURUSD,ask_depth,390,1976435.4733821293,815937.3393864505,1040000.0,1824017.8074568727,10001672.240802675
EURUSD,bid_depth_2x,390,22335068.366796263,7365043.613220349,9671666.66666257,21997500.0,94454849.49832612
EURUSD,ask_depth_2x,390,22201192.097822286,14266482.667210527,10551666.666672947,20301666.66666585,239608333.33332324
EURUSD,price_impact_5s,386,1.9640803619802595e-05,1.634726730690776e-05,-4.535632271631347e-05,1.7795712317113336e-05,0.00010021137826363581
USDJPY,dollar_vol,390,32674358.974358976,45064182.837158285,0.0,19000000.0,413000000.0
USDJPY,n_trades,390,15.48974358974359,16.853478581408112,0.0,11.0,155.0
USDJPY,n_orders,0,,,,,
USDJPY,open,377,77.94847480106101,0.22262252191155513,77.57,77.896,78.282
USDJPY,close,377,77.94706366047745,0.222996544149282,77.57,77.892,78.287
USDJPY,high,377,77.95709283819629,0.2202361145347892,77.599,77.907,78.288
USDJPY,low,377,77.93885411140583,0.22536055612209002,77.56,77.871,78.276
USDJPY,vwap,377,77.94794069762683,0.2227166132069539,77.58080487804878,77.88766666666666,78.28096428571429
USDJPY,spread,390,0.008007467465531454,0.0015798511629601917,0.004026666666667175,0.007947499999999587,0.014418333333328247
USDJPY,bid_depth,390,2095465.1314536678,1020666.2772802347,1000000.0,1813333.3333333333,7501666.666666667
USDJPY,ask_depth,390,2214463.7501406204,1509059.6423864486,1000000.0,1837500.0,15281666.666666666
USDJPY,bid_depth_2x,390,20181163.6271007,6091178.505019619,9113333.333338795,19666666.666663937,44755000.000000276
USDJPY,ask_depth_2x,390,22227221.717465427,12729827.633008396,6066666.666668851,20313610.1836409,100224455.61139028
USDJPY,price_impact_5s,302,2.2482616392009536e-05,3.060572106755416e-05,-4.050061560377367e-05,1.9124738683155627e-05,0.0004304466925087774
EURJPY,dollar_vol,390,8001799.310852853,11675868.468240071,0.0,3892974.277705589,89012733.90602104
EURJPY,n_trades,390,3.953846153846154,4.946284531884303,0.0,2.0,37.0
EURJPY,n_orders,0,,,,,
EURJPY,open,307,101.53377198697066,0.18250889528942024,101.2,101.496,101.94
EURJPY,close,307,101.53478501628666,0.183069344794569,101.203,101.5,101.94
EURJPY,high,307,101.54235179153095,0.18282528541919446,101.203,101.5,101.949
EURJPY,low,307,101.52666775244299,0.18345117523542542,101.2,101.493,101.94
EURJPY,vwap,307,101.53504661777215,0.1828642997466015,101.20014285714285,101.5,101.94
EURJPY,spread,390,0.0189821496350576,0.003300546389456337,0.007551666666662598,0.019171666666665393,0.033196666666664126
EURJPY,bid_depth,390,1465323.682943327,552292.9542117591,1000000.0,1306666.6666666667,6790000.0
EURJPY,ask_depth,390,1965647.9261170411,3572692.2338505983,1000000.0,1368333.3333333335,48928333.333333336
EURJPY,bid_depth_2x,390,16958413.532756776,2847658.266516355,8189999.999998908,16881666.66666653,30741666.666669123
EURJPY,ask_depth_2x,390,18940750.959577102,8935693.32793029,10571666.666663663,16946666.666665845,90131666.66666667
